frame,action,actionTime,frameMs,fps,windStrength,windTarget,headLinearSpeed,headAngularSpeed,maxDeviation,maxStaticPenetration,maxFrontStaticPenetration,maxFrontMeshPenetration,finite
167,0,0.445953,2.5509,392.019,0.000000,0.000000,0.000000,0.0000,0.223417,0.002709,0.002709,0.000000,True
168,0,0.448504,2.5320,394.945,0.000000,0.000000,0.000000,0.0000,0.223596,0.002727,0.002727,0.000000,True
169,0,0.451036,2.5675,389.484,0.000000,0.000000,0.000000,0.0000,0.223724,0.002733,0.002733,0.000000,True
170,0,0.453605,2.7696,361.063,0.000000,0.000000,0.000000,0.0000,0.223839,0.002727,0.002727,0.000000,True
171,0,0.456375,2.7025,370.028,0.000000,0.000000,0.000000,0.0000,0.223969,0.002712,0.002712,0.000000,True
172,0,0.459078,2.6214,381.476,0.000000,0.000000,0.000000,0.0000,0.224163,0.002689,0.002689,0.000000,True
173,0,0.461700,2.5787,387.792,0.000000,0.000000,0.000000,0.0000,0.224374,0.002660,0.002660,0.000000,True
174,0,0.464279,2.5363,394.275,0.000000,0.000000,0.000000,0.0000,0.224608,0.002630,0.002630,0.000000,True
175,0,0.466816,2.5723,388.757,0.000000,0.000000,0.000000,0.0000,0.224872,0.002597,0.002597,0.000000,True
176,0,0.469388,2.5170,397.298,0.000000,0.000000,0.000000,0.0000,0.225151,0.002565,0.002565,0.000000,True
177,0,0.471906,2.5550,391.389,0.000000,0.000000,0.000000,0.0000,0.225450,0.002534,0.002534,0.000000,True
178,0,0.474461,2.5575,391.007,0.000000,0.000000,0.000000,0.0000,0.225763,0.002506,0.002506,0.000000,True
179,0,0.477019,2.4931,401.107,0.000000,0.000000,0.000000,0.0000,0.226076,0.002482,0.002482,0.000000,True
180,0,0.479513,2.5102,398.375,0.000000,0.000000,0.000000,0.0000,0.226370,0.002463,0.002463,0.000000,True
181,0,0.482023,2.5435,393.159,0.000000,0.000000,0.000000,0.0000,0.226620,0.002451,0.002451,0.000000,True
182,0,0.484567,2.5176,397.204,0.000000,0.000000,0.000000,0.0000,0.226857,0.002463,0.002463,0.000000,True
183,0,0.487085,2.4831,402.722,0.000000,0.000000,0.000000,0.0000,0.227089,0.002483,0.002483,0.000000,True
184,0,0.489568,2.5465,392.696,0.000000,0.000000,0.000000,0.0000,0.227336,0.002495,0.002495,0.000000,True
185,0,0.492116,2.6251,380.938,0.000000,0.000000,0.000000,0.0000,0.227583,0.002498,0.002498,0.000000,True
186,0,0.494741,2.5055,399.122,0.000000,0.000000,0.000000,0.0000,0.227846,0.002490,0.002490,0.000000,True
187,0,0.497247,2.5863,386.653,0.000000,0.000000,0.000000,0.0000,0.228121,0.002463,0.002463,0.000000,True
188,0,0.499833,2.5379,394.027,0.000000,0.000000,0.000000,0.0000,0.228421,0.002432,0.002432,0.000000,True
189,0,0.502372,2.5869,386.563,0.000000,0.000000,0.000000,0.0000,0.228748,0.002390,0.002390,0.000000,True
190,0,0.504959,2.5267,395.773,0.000000,0.000000,0.000000,0.0000,0.229105,0.002343,0.002343,0.000000,True
191,0,0.507486,2.5280,395.570,0.000000,0.000000,0.000000,0.0000,0.229481,0.002290,0.002290,0.000000,True
192,0,0.510014,2.5143,397.725,0.000000,0.000000,0.000000,0.0000,0.229860,0.002236,0.002236,0.000000,True
193,0,0.512529,2.5599,390.640,0.000000,0.000000,0.000000,0.0000,0.230232,0.002182,0.002182,0.000000,True
194,0,0.515089,2.5399,393.716,0.000000,0.000000,0.000000,0.0000,0.230560,0.002129,0.002129,0.000000,True
195,0,0.517629,2.5139,397.788,0.000000,0.000000,0.000000,0.0000,0.230852,0.002097,0.002097,0.000000,True
196,0,0.520143,2.5794,387.687,0.000000,0.000000,0.000000,0.0000,0.231142,0.002120,0.002120,0.000000,True
197,0,0.522723,2.5317,394.992,0.000000,0.000000,0.000000,0.0000,0.231430,0.002154,0.002154,0.000000,True
198,0,0.525255,2.5716,388.863,0.000000,0.000000,0.000000,0.0000,0.231716,0.002175,0.002175,0.000000,True
199,0,0.527828,2.7462,364.140,0.000000,0.000000,0.000000,0.0000,0.231987,0.002183,0.002183,0.000000,True
200,0,0.530574,2.6909,371.623,0.000000,0.000000,0.000000,0.0000,0.232259,0.002184,0.002184,0.000000,True
201,0,0.533266,2.4781,403.535,0.000000,0.000000,0.000000,0.0000,0.232545,0.002156,0.002156,0.000000,True
202,0,0.535744,2.5420,393.391,0.000000,0.000000,0.000000,0.0000,0.232820,0.002101,0.002101,0.000000,True
203,0,0.538287,2.5910,385.951,0.000000,0.000000,0.000000,0.0000,0.233112,0.002049,0.002049,0.000000,True
204,0,0.540878,2.5173,397.251,0.000000,0.000000,0.000000,0.0000,0.233431,0.002057,0.002057,0.000000,True
205,0,0.543396,2.5703,389.060,0.000000,0.000000,0.000000,0.0000,0.233766,0.002066,0.002066,0.000000,True
206,0,0.545967,2.5197,396.873,0.000000,0.000000,0.000000,0.0000,0.234103,0.002033,0.002033,0.000000,True
207,0,0.548487,2.5278,395.601,0.000000,0.000000,0.000000,0.0000,0.234422,0.001947,0.001947,0.000000,True
208,0,0.551015,2.4993,400.112,0.000000,0.000000,0.000000,0.0000,0.234699,0.001815,0.001815,0.000000,True
209,0,0.553514,2.5052,399.170,0.000000,0.000000,0.000000,0.0000,0.234965,0.001774,0.001774,0.000000,True
210,0,0.556020,2.4886,401.832,0.000000,0.000000,0.000000,0.0000,0.235230,0.001840,0.001840,0.000000,True
211,0,0.558509,2.6109,383.010,0.000000,0.000000,0.000000,0.0000,0.235472,0.001973,0.001973,0.000000,True
212,0,0.561120,2.5639,390.031,0.000000,0.000000,0.000000,0.0000,0.235712,0.002160,0.002160,0.000000,True
213,0,0.563684,2.5390,393.856,0.000000,0.000000,0.000000,0.0000,0.235910,0.002355,0.002355,0.000000,True
214,0,0.566224,2.4965,400.561,0.000000,0.000000,0.000000,0.0000,0.236093,0.002545,0.002545,0.000000,True
215,0,0.568720,2.5261,395.867,0.000000,0.000000,0.000000,0.0000,0.236273,0.002688,0.002688,0.000000,True
216,0,0.571247,2.5519,391.865,0.000000,0.000000,0.000000,0.0000,0.236462,0.002790,0.002790,0.000000,True
217,0,0.573799,2.5486,392.372,0.000000,0.000000,0.000000,0.0000,0.236667,0.002857,0.002857,0.000000,True
